iter	Passed	Remaining
1315	29338	4102
1316	29358	4079
1317	29378	4056
1318	29399	4034
1319	29419	4011
1320	29440	3989
1321	29463	3967
1322	29484	3944
1323	29506	3922
1324	29528	3899
1325	29549	3877
1326	29570	3855
1327	29589	3832
1328	29610	3809
1329	29630	3787
1330	29651	3764
1331	29672	3742
1332	29693	3719
1333	29713	3697
1334	29733	3674
1335	29755	3652
1336	29774	3630
1337	29794	3607
1338	29817	3585
1339	29837	3562
1340	29857	3540
1341	29877	3517
1342	29899	3495
1343	29920	3472
1344	29943	3450
1345	29967	3428
1346	29989	3406
1347	30010	3384
1348	30032	3361
1349	30054	3339
1350	30074	3316
1351	30094	3294
1352	30115	3271
1353	30134	3249
1354	30154	3226
1355	30174	3204
1356	30193	3181
1357	30213	3159
1358	30233	3136
1359	30253	3114
1360	30275	3092
1361	30298	3069
1362	30317	3047
1363	30337	3024
1364	30358	3002
1365	30378	2980
1366	30401	2957
1367	30421	2935
1368	30441	2912
1369	30462	2890
1370	30482	2868
1371	30502	2845
1372	30524	2823
1373	30541	2800
1374	30562	2778
1375	30582	2756
1376	30604	2733
1377	30623	2711
1378	30644	2688
1379	30664	2666
1380	30684	2644
1381	30704	2621
1382	30725	2599
1383	30746	2576
1384	30765	2554
1385	30787	2532
1386	30808	2510
1387	30829	2487
1388	30866	2466
1389	30891	2444
1390	30911	2422
1391	30930	2399
1392	30949	2377
1393	30972	2355
1394	30993	2332
1395	31016	2310
1396	31039	2288
1397	31060	2266
1398	31080	2243
1399	31099	2221
1400	31120	2199
1401	31140	2176
1402	31160	2154
1403	31177	2131
1404	31198	2109
1405	31217	2087
1406	31239	2064
1407	31259	2042
1408	31279	2020
1409	31300	1997
1410	31320	1975
1411	31340	1953
1412	31360	1930
1413	31381	1908
1414	31400	1886
1415	31422	1864
1416	31444	1841
1417	31463	1819
1418	31484	1797
1419	31504	1774
1420	31523	1752
1421	31544	1730
1422	31565	1708
1423	31586	1685
1424	31610	1663
1425	31630	1641
1426	31651	1619
1427	31672	1596
1428	31692	1574
1429	31713	1552
1430	31733	1530
1431	31753	1507
1432	31773	1485
1433	31794	1463
